User_id,profileName,n_reviews,avg_helpful_ratio,total_helpful_votes,avg_len,score_std,avg_score,relevance_score
A2YKRLLZNJ3Q8P,Arch Stanton,3,,0,2095.0,2.3094010767585034,3.6666666666666665,0.266
AZNTVVW1C3J6C,Anthony Frank,2,,0,1144.0,2.8284271247461903,3.0,0.264
ATZLB28PRJPL8,The Evil Hat (evilhatDOTblogspotCOM),2,,0,2264.0,2.1213203435596424,2.5,0.259
A1OCW60M4Z17YR,Bob Meyer,2,,0,941.5,2.8284271247461903,3.0,0.259
A3VBZ6DPAXQE91,serious reader,2,,0,921.5,2.8284271247461903,3.0,0.258
A20KFS7XA57SXM,Richard W. Field,2,,0,926.5,2.8284271247461903,3.0,0.258
A3OBLJ6NOJ2VS9,"mark twain ""nunya""",2,,0,875.5,2.8284271247461903,3.0,0.256
AYBDZQISGOPTK,"Gary S. Hurd ""Dr.GH""",2,,0,866.5,2.8284271247461903,3.0,0.256
A1ZA12IECEKIY,Mark Cohen,3,,0,1882.6666666666667,2.0816659994661326,3.3333333333333335,0.255
A10RJ73FK600DJ,Mark Wylie,2,,0,816.5,2.8284271247461903,3.0,0.254
